,1,2,3,4,5,6,7,8,Total
0,,21.0,49.0,218.0,33.0,9.0,43.0,3.0,376.0
1,,1.0,53.0,4.0,5.0,1.0,1.0,2.0,67.0
2,,1.0,28.0,5.0,32.0,1.0,0.0,1.0,68.0
3,,1.0,39.0,5.0,23.0,1.0,1.0,1.0,71.0
4,,1.0,11.0,5.0,40.0,0.0,1.0,1.0,59.0
5,,1.0,63.0,5.0,34.0,2.0,0.0,1.0,106.0
6,,1.0,18.0,4.0,53.0,0.0,1.0,1.0,78.0
7,,1.0,55.0,5.0,13.0,1.0,1.0,1.0,77.0
8,,1.0,44.0,5.0,8.0,1.0,1.0,1.0,61.0
9,,1.0,71.0,5.0,11.0,0.0,1.0,1.0,90.0
10,,1.0,25.0,5.0,15.0,1.0,1.0,1.0,49.0
11,,1.0,45.0,5.0,3.0,1.0,1.0,1.0,57.0
12,,1.0,58.0,5.0,80.0,0.0,1.0,1.0,146.0
13,,1.0,50.0,4.0,15.0,23.0,1.0,1.0,95.0
14,,0.0,34.0,5.0,23.0,1.0,1.0,1.0,65.0
15,,6.0,32.0,4.0,15.0,1.0,1.0,1.0,60.0
16,,1.0,31.0,4.0,18.0,1.0,1.0,1.0,57.0
17,,1.0,21.0,4.0,37.0,1.0,0.0,2.0,66.0
18,,1.0,17.0,5.0,28.0,1.0,1.0,1.0,54.0
19,,1.0,14.0,4.0,37.0,0.0,1.0,1.0,58.0
20,,1.0,41.0,4.0,4.0,1.0,0.0,2.0,53.0
21,,1.0,28.0,5.0,45.0,0.0,1.0,1.0,81.0
22,,1.0,33.0,5.0,19.0,1.0,1.0,1.0,61.0
23,,1.0,51.0,4.0,12.0,1.0,0.0,1.0,70.0
24,,1.0,31.0,4.0,22.0,1.0,0.0,1.0,60.0
25,,0.0,36.0,4.0,14.0,1.0,0.0,1.0,56.0
26,,1.0,44.0,5.0,20.0,1.0,1.0,1.0,73.0
27,,1.0,45.0,4.0,15.0,1.0,0.0,1.0,67.0
28,,1.0,18.0,5.0,22.0,1.0,1.0,1.0,49.0
29,,1.0,32.0,7.0,57.0,1.0,0.0,2.0,100.0
30,,0.0,77.0,4.0,29.0,1.0,1.0,1.0,113.0
31,,1.0,75.0,5.0,18.0,1.0,0.0,1.0,101.0
32,,1.0,35.0,4.0,54.0,1.0,0.0,1.0,96.0
33,,1.0,81.0,4.0,19.0,1.0,1.0,1.0,108.0
34,,1.0,51.0,5.0,50.0,1.0,1.0,1.0,110.0
35,,0.0,20.0,4.0,4.0,1.0,1.0,1.0,31.0
36,,1.0,65.0,4.0,15.0,1.0,1.0,1.0,88.0
37,,1.0,32.0,4.0,73.0,1.0,1.0,1.0,113.0
38,,1.0,67.0,4.0,16.0,1.0,0.0,1.0,90.0
39,,3.0,31.0,4.0,20.0,1.0,1.0,1.0,61.0
40,,1.0,25.0,4.0,50.0,1.0,1.0,1.0,83.0
41,,1.0,58.0,4.0,15.0,1.0,0.0,1.0,80.0
42,,1.0,35.0,3.0,3.0,1.0,1.0,1.0,45.0
43,,1.0,7.0,4.0,9.0,1.0,1.0,1.0,24.0
44,,1.0,11.0,5.0,14.0,0.0,1.0,1.0,33.0
45,,1.0,11.0,3.0,4.0,1.0,1.0,1.0,22.0
46,,1.0,14.0,4.0,17.0,1.0,1.0,1.0,39.0
47,,1.0,39.0,4.0,11.0,1.0,0.0,1.0,57.0
48,,1.0,12.0,23.0,4.0,0.0,1.0,1.0,42.0
